collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
11165	H. Sims				Archeriidae		Archeria		crassidisca					4113	33.683333	-98.7	-3.28	-31.25	298.90000	290.10000	294.5
11576	E. Fara			Salientia	Gobiatidae	n. gen.	Cretasalia	n. sp.	tsybini					4173	43.3	99.6	40.34	88.91	83.60000	66.00000	74.8
11576	E. Fara			Salientia	Gobiatidae		Gobiates		leptocolaptus					4173	43.3	99.6	40.34	88.91	83.60000	66.00000	74.8
11582	E. Fara	CC BY		Salientia	Gobiatidae		Gobiates		leptocolaptus					4173	43.3	99.6	40.33	88.92	83.60000	66.00000	74.8
11582	E. Fara	CC BY		Salientia	Gobiatidae	n. gen.	Gobiates	n. sp.	khermeentsavi					4173	43.3	99.6	40.33	88.92	83.60000	66.00000	74.8
12816	E. Fara	CC BY		Salientia	Discoglossidae	n. gen.	Enneabatrachus	n. sp.	hechti					10624	41.893056	-106.002222	37.45	-52.17	157.30000	145.00000	151.15
12816	E. Fara	CC BY		Salientia		n. gen.	Eobatrachus	n. sp.	agilis					10624	41.893056	-106.002222	37.45	-52.17	157.30000	145.00000	151.15
12816	E. Fara	CC BY		Salientia		n. gen.	Comobatrachus	n. sp.	aenigmaticus					10624	41.893056	-106.002222	37.45	-52.17	157.30000	145.00000	151.15
12816	E. Fara	CC BY				n. gen.	Comonecturoides	n. sp.	marshi					10624	41.893056	-106.002222	37.45	-52.17	157.30000	145.00000	151.15
12840	E. Fara				Urodela		Salamandra		sansaniensis					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara			Salientia	Pelodytidae	cf.	Pelodytes		sp.					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12841	E. Fara			Salientia	Pelobatidae	cf.	Eopelobates		sp.					7272	44.350000	1.731667	42.91	-1.94	38.00000	33.90000	35.95
12843	E. Fara				Urodela		Megalotriton		sp.					7272	44.350000	1.733333	42.91	-1.93	38.00000	33.90000	35.95
12843	E. Fara			Salientia	Pelobatidae	cf.	Eopelobates		sp.					7272	44.350000	1.733333	42.91	-1.93	38.00000	33.90000	35.95
12849	E. Fara			Salientia	Pelobatidae	cf.	Eopelobates		sp.					12522	44.366667	1.731111	42.93	-1.94	38.00000	33.90000	35.95
12849	E. Fara			Salientia	Pelodytidae	cf.	Pelodytes		sp.					12522	44.366667	1.731111	42.93	-1.94	38.00000	33.90000	35.95
12850	E. Fara			Salientia	Pelobatidae	cf.	Eopelobates		sp.					12522	44.383333	1.433333	42.94	-2.23	37.20000	33.90000	35.55
12852	E. Fara				Urodela		Megalotriton		sp.					8517	44.366667	1.733333	42.93	-1.94	38.00000	33.90000	35.95
12855	E. Fara				Urodela	n. gen.	Noterpeton	n. sp.	bolivianum					39674	-17.855556	-65.45	-20.38	-51.30	72.10000	66.00000	69.05
12976	J. Alroy	CC BY			Lysorophidae		Lysorophus		sp.					28928	33.703333	-99.6	2.39	-29.02	279.30000	272.30000	275.8
12976	J. Alroy	CC BY			Keraterpetontidae		Diplocaulus	n. sp.	recurvatus					28928	33.703333	-99.6	2.39	-29.02	279.30000	272.30000	275.8
13066	M. Uhen	CC BY			Urodela		Plethodon	cf.	glutinosus					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY		Salientia	Ranidae		Rana		pipiens					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY			Urodela		Pseudotriton		ruber					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY		Salientia	Bufonidae		Bufo		americanus					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY			Urodela		Ambystoma		tigrinum					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY		Salientia	Hylidae		Hyla		crucifer					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13080	J. Alroy	CC BY			Cricotidae		Cricotus		sp.					7693	33.622500	-98.856944	0.00	-29.51	290.10000	279.30000	284.7
13080	J. Alroy	CC BY			Keraterpetontidae		Diplocaulus		sp.					7693	33.622500	-98.856944	0.00	-29.51	290.10000	279.30000	284.7
13080	J. Alroy	CC BY			Archeriidae	n. gen.	Archeria	n. sp.	robinsoni					7693	33.622500	-98.856944	0.00	-29.51	290.10000	279.30000	284.7
13097	E. Fara			Salientia	Pelobatidae		Eopelobates	n. sp.	grandis					4366	43.745556	-102.668333	45.06	-93.80	37.20000	33.90000	35.55
13142	E. Fara	CC BY		Salientia	Discoglossidae	cf.	Barbourula		sp.					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY		Salientia	Palaeobatrachidae		Palaeobatrachus		occidentalis					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Urodela		Scapherpeton		tectum					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Urodela		Piceoerpeton	n. sp.	naylori	cf.	Piceoerpeton		sp.	4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Batrachosauroididae		Prodesmodon		copei		Cuttysarkus		mcnallyi	4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Urodela	n. gen.	Lisserpeton	n. sp.	bairdi					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Batrachosauroididae		Prodesmodon		copei					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY		Salientia	Pelobatidae	cf.	Eopelobates		sp.	?	Eopelobates		sp.	4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Urodela		Habrosaurus		dilatus					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Urodela		Proamphiuma		cretacea					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY			Batrachosauroididae		Opisthotriton		kayi					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13142	E. Fara	CC BY		Salientia		n. gen.	Scotiophryne	n. sp.	pustulosa					4377	47.8	-106.1	54.52	-78.40	72.10000	66.00000	69.05
13322	J. Hunter				Batrachosauroididae		Palaeoproteus	n. sp.	klatti					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13322	J. Hunter				Urodela		Tylototriton	n. sp.	weigelti					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13322	J. Hunter			Salientia	Pelobatidae		Eopelobates	n. sp.	hinschei					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13322	J. Hunter			Salientia	Ranidae		Rana	n. sp.	carbonicola					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13334	M. Carrano	CC BY			Albanerpetontidae		Albanerpeton		sp.					5971	45.603614	22.845143	32.48	21.13	72.10000	66.00000	69.05
13501	J. Alroy	CC BY		Salientia			Estesiella		boliviensis	n. gen.	Leptodactylidae	n. sp.	indet.	6116	-18.033333	-65.583333	-20.74	-52.49	66.00000	61.70000	63.85
14375	J. Alroy	CC BY			Prosirenidae	n. gen.	Prosiren	n. sp.	elinorae					3184	33.283333	-97.616667	30.73	-57.25	113.00000	100.50000	106.75
14375	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		arthridion					3184	33.283333	-97.616667	30.73	-57.25	113.00000	100.50000	106.75
14388	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		arthridion					19641	33.500178	-97.582739	30.93	-57.15	113.00000	100.50000	106.75
14388	J. Alroy	CC BY			Prosirenidae		Prosiren		elinorae					19641	33.500178	-97.582739	30.93	-57.15	113.00000	100.50000	106.75
14392	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		arthridion					1212	34.4	-96.1	31.93	-50.83	122.46000	109.00000	115.73
14396	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton	cf.	nexuosus					1210	39.0	-111	39.51	-72.19	105.30000	93.50000	99.4
14399	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton	cf.	nexuosus					1223	39.0	-111	39.51	-72.19	105.30000	93.50000	99.4
14408	J. Alroy	CC BY			Prosirenidae		Prosiren		elinorae					3187	32.270556	-97.907222	30.46	-51.65	125.00000	113.00000	119
14408	J. Alroy	CC BY		Salientia	Gobiatidae		Gobiates		sp.		Anura		indet.	3187	32.270556	-97.907222	30.46	-51.65	125.00000	113.00000	119
14411	J. Alroy	CC BY			Prosirenidae		Prosiren		elinorae					7600	32.220556	-98.201944	29.83	-58.12	113.00000	100.50000	106.75
14415	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton	n. sp.	cifellii					1412	37.8	-111.5	41.24	-76.90	93.50000	89.30000	91.4
14422	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1510	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14422	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1510	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14423	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1508	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14423	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1508	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14425	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton	n. sp.	galaktion					1514	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14425	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1514	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14426	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1510	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14426	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1510	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14427	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1521	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14427	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1521	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14428	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1173	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14428	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1173	49.1	-111.8	56.58	-77.44	83.50000	70.60000	77.05
14446	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei					3008	47.8082	-109.5897	54.87	-75.76	83.50000	70.60000	77.05
14446	J. Alroy	CC BY			Urodela		Habrosaurus		sp.		Habrosaurus		dilatus	3008	47.8082	-109.5897	54.87	-75.76	83.50000	70.60000	77.05
14455	J. Alroy	CC BY			Batrachosauroididae		Parrisia		neocesariensis		Prodesmodon		sp.	1691	40.3	-74.3	39.42	-44.01	83.50000	70.60000	77.05
14455	J. Alroy	CC BY			Batrachosauroididae	n. gen.	Parrisia	n. sp.	neocesariensis		Opisthotriton		sp.	1691	40.3	-74.3	39.42	-44.01	83.50000	70.60000	77.05
14456	J. Alroy	CC BY		Salientia			Scotiophryne		sp.					30749	30.2	-115.8	35.70	-86.56	83.50000	70.60000	77.05
14458	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei					2237	42.8544	-107.2781	49.66	-75.82	83.50000	70.60000	77.05
14458	J. Alroy	CC BY		Salientia	Pelobatidae	cf.	Eopelobates		sp.					2237	42.8544	-107.2781	49.66	-75.82	83.50000	70.60000	77.05
14458	J. Alroy	CC BY			Urodela		Lisserpeton		bairdi					2237	42.8544	-107.2781	49.66	-75.82	83.50000	70.60000	77.05
14458	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					2237	42.8544	-107.2781	49.66	-75.82	83.50000	70.60000	77.05
14458	J. Alroy	CC BY			Urodela		Habrosaurus		dilatus					2237	42.8544	-107.2781	49.66	-75.82	83.50000	70.60000	77.05
14463	J. Alroy	CC BY			Urodela		Habrosaurus	n. sp.	prodilatus					1517	49.9567	-110.2662	57.05	-75.20	83.50000	70.60000	77.05
14466	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1412	37.4	-111.2	45.29	-82.38	83.50000	70.60000	77.05
14466	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		gracilis					1412	37.4	-111.2	45.29	-82.38	83.50000	70.60000	77.05
14466	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1412	37.4	-111.2	45.29	-82.38	83.50000	70.60000	77.05
14489	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		gracilis					2988	29.316667	-103.516667	35.82	-76.99	83.50000	70.60000	77.05
14489	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					2988	29.316667	-103.516667	35.82	-76.99	83.50000	70.60000	77.05
14490	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		sp.					1487	46.1	-109.1	53.15	-76.17	83.50000	70.60000	77.05
14490	J. Alroy	CC BY			Urodela		Scapherpeton		sp.					1487	46.1	-109.1	53.15	-76.17	83.50000	70.60000	77.05
14494	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		sp.					3313	49.1	-109.5	56.07	-74.89	83.50000	70.60000	77.05
14494	J. Alroy	CC BY			Urodela		Scapherpeton		sp.					3313	49.1	-109.5	56.07	-74.89	83.50000	70.60000	77.05
14502	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		sp.					13943	49.913	-112.9853	57.72	-85.66	70.60000	66.00000	68.3
14505	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					3880	43.183333	-104.533333	49.65	-79.37	70.60000	66.00000	68.3
14505	J. Alroy	CC BY			Urodela		Habrosaurus		dilatus					3880	43.183333	-104.533333	49.65	-79.37	70.60000	66.00000	68.3
14505	J. Alroy	CC BY			Urodela		Lisserpeton		bairdi					3880	43.183333	-104.533333	49.65	-79.37	70.60000	66.00000	68.3
14505	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		kayi					3880	43.183333	-104.533333	49.65	-79.37	70.60000	66.00000	68.3
14505	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei					3880	43.183333	-104.533333	49.65	-79.37	70.60000	66.00000	68.3
14508	J. Alroy	CC BY			Urodela		Lisserpeton		atlantes					960	47.5500	-107.1333	54.35	-80.26	70.60000	66.00000	68.3
14508	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					960	47.5500	-107.1333	54.35	-80.26	70.60000	66.00000	68.3
14508	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		sp.					960	47.5500	-107.1333	54.35	-80.26	70.60000	66.00000	68.3
14510	J. Alroy	CC BY		Salientia	Palaeobatrachidae		Palaeobatrachus		occidentalis	cf.	Barbourula		sp.	1239	43.0	-104.5	49.46	-79.41	70.60000	66.00000	68.3
14513	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					960	47.6167	-107.3167	54.45	-80.43	70.60000	66.00000	68.3
14513	J. Alroy	CC BY			Urodela		Habrosaurus		sp.					960	47.6167	-107.3167	54.45	-80.43	70.60000	66.00000	68.3
14513	J. Alroy	CC BY			Urodela		Scapherpeton		sp.					960	47.6167	-107.3167	54.45	-80.43	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Urodela		Habrosaurus		dilatus					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		galaktion					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		kayi					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY		Salientia		?	Scotiophryne		sp.					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14514	J. Alroy	CC BY			Urodela		Lisserpeton		bairdi					1129	41.5683	-108.6678	48.87	-84.54	70.60000	66.00000	68.3
14515	J. Alroy	CC BY			Urodela		Scapherpeton		sp.					3198	47.6	-107	54.37	-80.08	70.60000	66.00000	68.3
14515	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		kayi					3198	47.6	-107	54.37	-80.08	70.60000	66.00000	68.3
14519	J. Alroy	CC BY		Salientia	Palaeobatrachidae		Palaeobatrachus		occidentalis	cf.	Barbourula		sp.	1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Albanerpetontidae		Albanerpeton		nexuosus					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Urodela		Habrosaurus		dilatus					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY		Salientia	Pelobatidae	cf.	Eopelobates		sp.	?	Pelobatidae		indet.	1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Urodela		Scapherpeton		tectum					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY		Salientia		n. gen.	Theatonius	n. sp.	lancensis					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Batrachosauroididae		Opisthotriton		kayi					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Urodela		Lisserpeton		bairdi					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY		Salientia		n. gen.	Paradiscoglossus	n. sp.	americanus					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY			Batrachosauroididae		Prodesmodon		copei		Cuttysarkus		mcnallyi	1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
