collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
11601	M. Uhen		Aves	Avetheropoda	Plotopteridae	n. gen.	Plotopterum	n. sp.	joaquinensis					10315	35.492778	-118.848333	35.21	-109.75	28.10000	23.03000	25.565
11798	W. Clyde		Aves	Avetheropoda	Anatidae		Aythya	n. sp.	shihuibas					10883	25.016667	102.066667	24.55	101.23	8.70000	5.33300	7.0165
11798	W. Clyde		Aves	Avetheropoda			Anas		sp.					10883	25.016667	102.066667	24.55	101.23	8.70000	5.33300	7.0165
12840	E. Fara		Aves	Avetheropoda	Vulturidae		Diatropornis		ellioti					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara		Aves	Avetheropoda	Aegialornithidae		Aegialornis		wetmorei					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara		Aves	Avetheropoda	Idiornithidae		Idiornis		gaillardi					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara		Aves	Avetheropoda	Coliidae		Primocolius		sigei					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara		Aves	Avetheropoda			Taoperdix		sp.					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12840	E. Fara		Aves	Avetheropoda	Aegialornithidae		Aegialornis		gallicus					7272	44.166667	1.733333	42.06	-2.02	41.30000	38.00000	39.65
12845	E. Fara		Aves	Avetheropoda	Geranopteridae		Geranopterus		alatus					12515	44.383333	1.566667	42.94	-2.10	37.20000	33.90000	35.55
12846	E. Fara		Aves	Avetheropoda	Geranopteridae		Geranopterus		alatus					12515	44.383333	1.566667	42.94	-2.10	37.20000	33.90000	35.55
12850	E. Fara		Aves	Avetheropoda	Geranopteridae		Geranopterus		milneedwardsi					12522	44.383333	1.433333	42.94	-2.23	37.20000	33.90000	35.55
12850	E. Fara		Aves	Trogoniformes	Trogonidae		Archaeotrogon		venustus					12522	44.383333	1.433333	42.94	-2.23	37.20000	33.90000	35.55
12851	E. Fara		Aves	Avetheropoda	Geranopteridae		Geranopterus		alatus					12515	44.366667	1.731944	42.93	-1.94	37.20000	33.90000	35.55
12954	J. Alroy	CC BY	Aves	Avetheropoda	Xenerodiopidae		Xenerodiops		mycter					24335	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12954	J. Alroy	CC BY	Aves	Phoenicopteriformes	Paloelodidae	aff.	Palaelodus		sp.					24335	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Balaenicipitiformes	Balaenicipitidae		Goliathia		andrewsi					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Musophagidae	aff.	Crinifer		sp.					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Jacanidae	n. gen.	Janipes	n. sp.	nymphaeobates					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Xenerodiopidae	n. gen.	Xenerodiops	n. sp.	mycter					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Phoenicopteriformes	Paloelodidae	aff.	Palaelodus		sp.					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Ardeiformes	Ardeidae		Nycticorax		sp.					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Pandionidae	aff.	Pandion		sp.					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Ciconiidae	?	Palaeoephippiorhynchus		dietrichi					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12960	J. Alroy	CC BY	Aves	Avetheropoda	Jacanidae	n. gen.	Nupharanassa	n. sp.	bulotorum					24324	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12964	J. Alroy	CC BY	Aves	Avetheropoda	Accipitridae	aff.	Haliaeetus		sp.					4292	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12964	J. Alroy	CC BY	Aves	Avetheropoda	Eremopezidae		Eremopezus		eocaenus					4292	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
12968	J. Alroy	CC BY	Aves	Avetheropoda	Jacanidae		Nupharanassa	n. sp.	tolutaria					24326	29.450000	30.583333	26.08	27.32	33.90000	28.10000	31
13066	M. Uhen	CC BY	Aves	Avetheropoda			Anas		rubripes					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY	Aves	Avetheropoda	Phasianidae		Meleagris		gallopavo					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13066	M. Uhen	CC BY	Aves	Avetheropoda	Columbidae		Ectopistes		migratorius					10272	34.2	-84.8	34.23	-84.59	2.58800	0.01170	1.29985
13079	M. Uhen	CC BY	Aves	Avetheropoda	Spheniscidae		Spheniscus		humboldti					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Phalacrocoracidae	cf.	Phalacrocorax		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Spheniscidae		Spheniscus	n. sp.	urbinai					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Procellariidae		Fulmarus		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Sulidae	n. gen.	Ramphastosula	n. sp.	ramirezi					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Pelagornithidae		Pelagornis		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Spheniscidae		Spheniscus		urbani					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Sulidae		Sula		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13079	M. Uhen	CC BY	Aves	Avetheropoda	Sulidae	cf.	Sula		sp.					11891	-15.580833	-74.719722	-15.84	-73.34	6.35	5.47	5.91
13090	M. Uhen		Aves	Avetheropoda			Mancalla		sp.					4361	28.366667	-115.183333	26.98	-111.73	7.24600	5.33300	6.2895
13090	M. Uhen		Aves	Phoenicopteriformes	Paloelodidae	?	Megapaloelodus		opsigonus					4361	28.366667	-115.183333	26.98	-111.73	7.24600	5.33300	6.2895
13108	M. Carrano	CC BY	Aves	Avetheropoda	Brodavidae		Brodavis	n. sp.	mongoliensis					4373	43.54	99.6	41.04	88.67	72.10000	66.00000	69.05
13264	J. Alroy	CC BY	Aves	Avetheropoda	Strigidae		Ornimegalonyx		oteroi					4396	22.583333	-83.666667	22.61	-83.47	2.58800	0.01170	1.29985
13296	J. Hunter		Aves	Avetheropoda	Accipitridae		Buteo	n. sp.	fluviaticus					4415	40.900000	-104.866667	42.16	-96.95	33.90000	33.30000	33.6
13297	J. Hunter	CC BY	Aves	Avetheropoda	Vulturidae	n. gen.	Hadrogyps	n. sp.	aigialeus					4416	35.3	-118.5	35.17	-113.32	15.97000	13.82000	14.895
13298	J. Hunter		Aves	Avetheropoda	Aegialornithidae	n. gen.	Primapus	n. sp.	lacki					4417	50.783333	-0.683333	46.25	-3.03	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Dasornis	n. sp.	toliapica	n. gen.	Odontopteryx	n. sp.	toliapica	4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Macrodontopteryx	n. sp.	oweni					4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
13299	J. Hunter		Aves	Avetheropoda	Pelagornithidae	n. gen.	Dasornis	n. sp.	emuinus					4417	51.400000	0.833333	46.86	-1.64	56.00000	47.80000	51.9
