collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
5607	J. Alroy	CC BY	Reptilia	Squamata	Mosasauridae		Prognathodon	n. sp.	stadtmani					33033	38.901667	-107.925833	46.03	-78.25	83.5	70.6	77.05
7515	M. Kosnik		Reptilia	Squamata	Mosasauridae		Mosasaurus		maximus					463	35.233611	-88.606389	38.04	-59.79	83.5	70.6	77.05
7515	M. Kosnik		Reptilia	Squamata	Mosasauridae		Plioplatecarpus		depressus					463	35.233611	-88.606389	38.04	-59.79	83.5	70.6	77.05
7515	M. Kosnik		Reptilia	Squamata	Mosasauridae		Prognathodon		sp.					463	35.233611	-88.606389	38.04	-59.79	83.5	70.6	77.05
11582	E. Fara	CC BY	Reptilia	Squamata	Macrocephalosauridae		Altanteius	n. sp.	facilis		Mongolochamops	n. sp.	facilis	4173	43.3	99.6	40.33	88.92	83.6	66	74.8
11582	E. Fara	CC BY	Reptilia	Squamata		n. gen.	Morunasius	n. sp.	modestus					4173	43.3	99.6	40.33	88.92	83.6	66	74.8
11582	E. Fara	CC BY	Reptilia	Squamata		n. gen.	Phrynosomimus	n. sp.	asper					4173	43.3	99.6	40.33	88.92	83.6	66	74.8
11582	E. Fara	CC BY	Reptilia	Squamata	Macrocephalosauridae	n. gen.	Parameiva	n. sp.	oculea					4173	43.3	99.6	40.33	88.92	83.6	66	74.8
11582	E. Fara	CC BY	Reptilia	Squamata	Hoplocercidae	n. gen.	Gladidenagama	n. sp.	semiplena					4173	43.3	99.6	40.33	88.92	83.6	66	74.8
11582	E. Fara	CC BY	Reptilia	Squamata	Macrocephalosauridae	n. gen.	Prodenteia	n. sp.	ministra					4173	43.3	99.6	40.33	88.92	83.6	66	74.8
