Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Ablepharus kitaibelii	257.076923076923	6	930	40.9054892857143	36.24884	47.5	136.214285714286	79	185
Abronia graminea	2605.5	1667	5389	18.7606120588006	18.6806586048673	19.0314722206418	132.666666666667	21	168
Abronia lythrochila	2277	2132	2401	16.6997999743238	16.640769897295	16.736	140.75	134	150
Abronia martindelcampoi	2486.2	2250	2734	17.5943153298431	17.5573753006078	17.6220918357609	162.4	153	178
Abronia mixteca	2660	2660	2660	17.3207222422786	17.3207222422786	17.3207222422786	154	154	154
Abronia oaxacae	2304.2	2069	2624	16.9310422170951	16.0674578215972	17.3312858163489	150	135	163
Abronia taeniata	1718.25	1039	2198	21.2228276626836	20.3550174148343	23.0904536847983	165.5	141	208
Acalyptophis peronii	7.5	0	20	-15.1870527086019	-22.4667	-9.08197638759882	266.333333333333	259	274
Acanthocercus adramitanus	1601.85714285714	455	2241	17.8171271428571	13.56617	19.8	207	177	240
Acanthocercus annectens	881.5	684	1079	3.89167	3.51806	4.26528	246.5	228	265
Acanthocercus atricollis	863.423728813559	19	1969	-16.5163301945564	-28.25	1.01667	207.440677966102	169	231
Acanthocercus cyanogaster	935.833333333333	373	1564	-6.29412666666667	-10.21475	0.28333	225.166666666667	200	243
Acanthodactylus bedriagai	798.666666666667	632	1019	35.7111133333333	35.2	36.36667	151	141	160
Acanthodactylus erythrurus	516.754583921016	-3	2097	38.9278954834254	32.145	42.13	149.348066298343	78	193
Acanthodactylus grandis	41	41	41	33.34058	33.34058	33.34058	227	227	227
Acanthodactylus maculatus	553.333333333333	63	1027	33.350225	30.243	35.2	188.416666666667	152	232
Acanthodactylus opheodurus	645	552	692	23.07389	17.48833	25.86667	244	241	250
Acanthodactylus pardalis	7	4	10	31.6333	30.9333	32.3333	194.5	193	196
Acanthodactylus savignyi	78.5	45	112	36.1978	35.6911	36.7045	176.5	174	179
Acanthodactylus schmidti	363.6	6	670	26.9729866666667	23.75	31.28595	251.066666666667	240	275
Acanthodactylus schreiberi	32.6923076923077	0	120	32.3126415703094	31.54889	34.60382	199.153846153846	186	208
Acanthosaura lepidogaster	775.6	47	2504	19.1472721666667	12.1828	24.41667	212.933333333333	114	265
Achalinus rufescens	582	582	582	21.84623	21.84623	21.84623	194	194	194
Acontias breviceps	2000	2000	2000	-27.28333	-27.28333	-27.28333	133	133	133
Acontias gracilicauda	1254.88235294118	96	1704	-28.8990194117647	-33.3	-25.68333	162.058823529412	147	195
Acontias percivali	1170.9	105	1649	-22.652667	-33.95	-17.8	202.3	176	226
Acontias plumbeus	393.171875	2	1360	-26.71659296875	-33	-22.6	207.625	150	233
Acrantophis madagascariensis	181.333333333333	160	218	-15.1242933333333	-16.229	-12.91688	259.666666666667	258	261
Acrochordus arafurae	37.7916666666667	3	216	-12.7224211377256	-17.883	-8.016	271.625	258	280
Acrochordus granulatus	14.5714285714286	3	59	-4.65644588525603	-16.916	13.45	266.166666666667	247	276
Acrochordus javanicus	29	29	29	1.03997	1.03997	1.03997	263	263	263
Acutotyphlops kunuaensis	155.8	19	648	-6.08427157704377	-6.833	-5.66458229046851	260.666666666667	236	269
Acutotyphlops subocularis	481.625	58	913	-5.48728875	-5.62681	-5.36055	237.75	214	263
Adelphicos nigrilatum	2329.17647058824	2088	2593	16.6966710119166	16.5107767989691	16.820761162498	139	132	150
Adolfus alleni	3871.6	3196	4360	0.093506	-0.31667	1.12714	67.8	39	104
